"BYDay","Daily_P","Date"
1,4.32468795964523e-07,2012-06-02
2,5.31090180597516e-07,2012-06-03
3,6.50345408862479e-07,2012-06-04
4,7.94116296525395e-07,2012-06-05
5,9.6691954172556e-07,2012-06-06
6,1.17399111377952e-06,2012-06-07
7,1.4213781617749e-06,2012-06-08
8,1.7160384328354e-06,2012-06-09
9,2.06594704049532e-06,2012-06-10
10,2.48021024859793e-06,2012-06-11
11,2.96918573537146e-06,2012-06-12
12,3.54460857587858e-06,2012-06-13
13,4.21972193026511e-06,2012-06-14
14,5.00941115197575e-06,2012-06-15
15,5.93033973748602e-06,2012-06-16
16,7.00108523121092e-06,2012-06-17
17,8.24227288131237e-06,2012-06-18
18,9.67670452058088e-06,2012-06-19
19,1.13294798289892e-05,2012-06-20
20,1.32281068295121e-05,2012-06-21
21,1.54025981860914e-05,2012-06-22
22,1.78855496226675e-05,2012-06-23
23,2.07121965761311e-05,2012-06-24
24,2.39204450454617e-05,2012-06-25
25,2.75508725157374e-05,2012-06-26
26,3.16466948306141e-05,2012-06-27
27,3.62536949708657e-05,2012-06-28
28,4.14201098794537e-05,2012-06-29
29,4.71964717634127e-05,2012-06-30
30,5.36354007059756e-05,2012-07-01
31,6.07913459426856e-05,2012-07-02
32,6.8720273794008e-05,2012-07-03
33,7.74793010022837e-05,2012-07-04
34,8.71262730876109e-05,2012-07-05
35,9.77192883066004e-05,2012-07-06
36,0.000109316168857611,2012-07-07
37,0.000121973882109944,2012-07-08
38,0.000135747915823064,2012-07-09
39,0.000150691612542287,2012-07-10
40,0.000166855469583929,2012-07-11
41,0.000184286412227256,2012-07-12
42,0.000203027048882887,2012-07-13
43,0.000223114918076286,2012-07-14
44,0.000244581738039181,2012-07-15
45,0.000267452670510174,2012-07-16
46,0.000291745610978761,2012-07-17
47,0.000317470518037173,2012-07-18
48,0.000344628794707594,2012-07-19
49,0.000373212734568246,2012-07-20
50,0.00040320504519503,2012-07-21
51,0.000434578460855825,2012-07-22
52,0.000467295455538109,2012-07-23
53,0.00050130806625946,2012-07-24
54,0.000536557835213695,2012-07-25
55,0.000572975877658397,2012-07-26
56,0.000610483080574732,2012-07-27
57,0.000648990435056141,2012-07-28
58,0.000688399503143553,2012-07-29
59,0.000728603017460862,2012-07-30
60,0.000769485609560515,2012-07-31
61,0.000810924660413339,2012-08-01
62,0.000852791264020952,2012-08-02
63,0.000894951292746293,2012-08-03
64,0.000937266550702137,2012-08-04
65,0.000979595999462648,2012-08-05
66,0.00102179703852109,2012-08-06
67,0.0010637268213572,2012-08-07
68,0.00110524358674588,2012-08-08
69,0.00114620798407472,2012-08-09
70,0.00118648437097643,2012-08-10
71,0.00122594206154914,2012-08-11
72,0.0012644565038527,2012-08-12
73,0.00130191036624133,2012-08-13
74,0.00133819451342268,2012-08-14
75,0.00137320885491046,2012-08-15
76,0.00140686305074071,2012-08-16
77,0.00143907706192034,2012-08-17
78,0.00146978153602699,2012-08-18
79,0.00149891802163112,2012-08-19
80,0.00152643900870076,2012-08-20
81,0.00155230779580777,2012-08-21
82,0.00157649818870261,2012-08-22
83,0.00159899403857965,2012-08-23
84,0.00161978863202869,2012-08-24
85,0.00163888394817117,2012-08-25
86,0.00165628980172211,2012-08-26
87,0.00167202289361435,2012-08-27
88,0.00168610579328863,2012-08-28
89,0.00169856587871861,2012-08-29
90,0.00170943426163921,2012-08-30
91,0.00171874472623121,2012-08-31
92,0.00172653270964623,2012-09-01
