Date,Winter,Spring,Fall,DateIndex
1921-10-01,0,0,0,1
1921-10-02,4.35e-6,0,0,2
1921-10-03,5.45e-6,0,0,3
1921-10-04,6.77e-6,0,0,4
1921-10-05,8.3e-6,0,0,5
1921-10-06,1.01e-5,0,0,6
1921-10-07,1.2e-5,0,0,7
1921-10-08,1.42e-5,0,0,8
1921-10-09,1.67e-5,0,0,9
1921-10-10,1.92e-5,0,0,10
1921-10-11,2.2e-5,0,0,11
1921-10-12,2.49e-5,0,0,12
1921-10-13,2.78e-5,0,0,13
1921-10-14,3.08e-5,0,0,14
1921-10-15,3.38e-5,0,0,15
1921-10-16,3.67e-5,0,0,16
1921-10-17,3.97e-5,0,0,17
1921-10-18,4.26e-5,0,0,18
1921-10-19,4.55e-5,0,0,19
1921-10-20,4.85e-5,0,0,20
1921-10-21,5.17e-5,0,0,21
1921-10-22,5.52e-5,0,0,22
1921-10-23,5.93e-5,0,0,23
1921-10-24,6.41e-5,0,0,24
1921-10-25,7.01e-5,0,0,25
1921-10-26,7.75e-5,0,0,26
1921-10-27,8.69e-5,0,0,27
1921-10-28,9.85e-5,0,0,28
1921-10-29,1.12993e-4,0,0,29
1921-10-30,1.30741e-4,0,0,30
1921-10-31,1.52729e-4,0,0,31
1921-11-01,1.79155e-4,0,0,32
1921-11-02,2.11194e-4,0,0,33
1921-11-03,2.4926e-4,0,0,34
1921-11-04,2.94386e-4,0,0,35
1921-11-05,3.47031e-4,0,0,36
1921-11-06,4.08203e-4,0,0,37
1921-11-07,4.78471e-4,0,0,38
1921-11-08,5.58528e-4,0,0,39
1921-11-09,6.49049e-4,0,0,40
1921-11-10,7.50196e-4,0,0,41
1921-11-11,8.62659e-4,0,0,42
1921-11-12,9.86016e-4,0,0,43
1921-11-13,0.001120859,0,0,44
1921-11-14,0.001265754,0,0,45
1921-11-15,0.001421038,0,0,46
1921-11-16,0.00158483,0,0,47
1921-11-17,0.001756984,0,0,48
1921-11-18,0.001935524,0,0,49
1921-11-19,0.002119853,0,0,50
1921-11-20,0.002308221,0,0,51
1921-11-21,0.002500043,0,0,52
1921-11-22,0.002694048,0,0,53
1921-11-23,0.00288991,0,0,54
1921-11-24,0.003087162,0,0,55
